fixTestTime,calibError,lpogx,lpogy,rpogx,rpogy,smoothpogx,smoothpogy,bestpogx,bestpogy,fixpx,fixpy,fixdur,fixstatus
64.20000083744526,40,889.4541625976562,362.8422546386719,840.666259765625,363.5839538574219,874.0593302408854,362.9472595214844,808.2608642578125,363.3006591796875,808.2608642578125,363.3006591796875,967,fixation
95.23499943315983,40,890.7745971679688,362.7111511230469,875.500244140625,363.1703186035156,874.0593302408854,362.9472595214844,810.05126953125,363.3066101074219,810.05126953125,363.3066101074219,1000,fixation
107.47000016272068,40,890.7745971679688,362.7111511230469,875.500244140625,363.1703186035156,874.0593302408854,362.9472595214844,810.05126953125,363.3066101074219,810.05126953125,363.3066101074219,1000,fixation
130.55500015616417,40,884.0491943359375,362.694091796875,925.89501953125,362.56927490234375,874.0593302408854,362.9472595214844,812.180908203125,363.3055419921875,812.180908203125,363.3055419921875,1033,fixation
162.08500042557716,40,889.0223388671875,362.5099182128906,962.2109985351562,362.1257019042969,874.0593302408854,362.9472595214844,814.7005004882812,363.2966003417969,814.7005004882812,363.2966003417969,1067,fixation
174.35500025749207,40,889.0223388671875,362.5099182128906,962.2109985351562,362.1257019042969,874.0593302408854,362.9472595214844,814.7005004882812,363.2966003417969,814.7005004882812,363.2966003417969,1067,fixation
198.50500114262104,40,890.7589111328125,362.3768310546875,903.1231079101562,362.6304016113281,874.0593302408854,362.9472595214844,817.28369140625,363.28302001953125,817.28369140625,363.28302001953125,1100,fixation
228.6550011485815,40,903.2363891601562,362.0882263183594,927.296875,362.3128662109375,874.0593302408854,362.9472595214844,820.0056762695312,363.2638854980469,820.0056762695312,363.2638854980469,1133,fixation
241.3100004196167,40,903.2363891601562,362.0882263183594,927.296875,362.3128662109375,874.0593302408854,362.9472595214844,820.0056762695312,363.2638854980469,820.0056762695312,363.2638854980469,1133,fixation
266.525000333786,40,916.7761840820312,362.4076232910156,902.4661865234375,363.0079345703125,874.0593302408854,362.9472595214844,822.7593383789062,363.2441711425781,822.7593383789062,363.2441711425781,1167,fixation
293.3249995112419,40,908.2616577148438,362.6074523925781,891.6384887695312,362.92169189453125,874.0593302408854,362.9472595214844,825.4343872070312,363.2247619628906,825.4343872070312,363.2247619628906,1200,fixation
308.2149997353554,40,908.2616577148438,362.6074523925781,891.6384887695312,362.92169189453125,874.0593302408854,362.9472595214844,825.4343872070312,363.2247619628906,825.4343872070312,363.2247619628906,1200,fixation
331.4249999821186,40,898.8558959960938,362.75933837890625,949.3771362304688,362.3538818359375,874.0593302408854,362.9472595214844,828.1631469726562,363.20458984375,828.1631469726562,363.20458984375,1233,fixation
361.625000834465,40,904.55810546875,362.5283203125,962.065673828125,362.0794982910156,874.0593302408854,362.9472595214844,830.9558715820312,363.1826171875,830.9558715820312,363.1826171875,1267,fixation
374.24500100314617,40,904.55810546875,362.5283203125,962.065673828125,362.0794982910156,874.0593302408854,362.9472595214844,830.9558715820312,363.1826171875,830.9558715820312,363.1826171875,1267,fixation
396.7450000345707,40,922.0079345703125,362.3465270996094,1016.8302001953125,361.4300537109375,874.0593302408854,362.9472595214844,942.9444580078125,362.2353515625,NaN,NaN,1267,fixation lost
428.0300009995699,40,929.9092407226562,362.0853271484375,1068.0919189453125,360.4981689453125,874.0593302408854,362.9472595214844,961.3624877929688,361.9537048339844,NaN,NaN,NaN,no fixation
441.2399996072054,40,929.9092407226562,362.0853271484375,1068.0919189453125,360.4981689453125,874.0593302408854,362.9472595214844,961.3624877929688,361.9537048339844,NaN,NaN,NaN,no fixation
464.69500102102757,40,934.6815185546875,361.7902526855469,1051.5103759765625,360.3581848144531,874.0593302408854,362.9472595214844,975.3770751953125,361.66802978515625,NaN,NaN,NaN,no fixation
494.8249999433756,40,955.0816040039062,361.6809387207031,927.4122314453125,362.3611755371094,874.0593302408854,362.9472595214844,975.1222534179688,361.6420593261719,NaN,NaN,NaN,no fixation
507.3499996215105,40,955.0816040039062,361.6809387207031,927.4122314453125,362.3611755371094,874.0593302408854,362.9472595214844,975.1222534179688,361.6420593261719,NaN,NaN,NaN,no fixation
531.92999958992,40,938.3380126953125,362.06024169921875,926.5155029296875,362.53851318359375,874.0593302408854,362.9472595214844,965.3621215820312,361.83880615234375,965.3621215820312,361.83880615234375,133,fixation acquired
562.5050012022257,40,905.0374145507812,362.5379943847656,913.0932006835938,362.6953125,874.0593302408854,362.9472595214844,965.0094604492188,361.8363037109375,965.0094604492188,361.8363037109375,167,fixation
574.2499995976686,40,905.0374145507812,362.5379943847656,913.0932006835938,362.6953125,874.0593302408854,362.9472595214844,965.0094604492188,361.8363037109375,965.0094604492188,361.8363037109375,167,fixation
598.4199997037649,40,902.5054931640625,362.4186706542969,867.282958984375,363.114013671875,874.0593302408854,362.9472595214844,962.7972412109375,361.85675048828125,962.7972412109375,361.85675048828125,200,fixation
630.0450004637241,40,895.2665405273438,362.3410949707031,851.206298828125,363.168701171875,874.0593302408854,362.9472595214844,959.255615234375,361.8896179199219,959.255615234375,361.8896179199219,233,fixation
664.6449994295835,40,893.6102294921875,362.22113037109375,829.3856201171875,363.4441223144531,874.0593302408854,362.9472595214844,954.720947265625,361.93115234375,954.720947265625,361.93115234375,267,fixation
692.2750007361174,40,891.5579223632812,362.1761779785156,826.89697265625,363.5020446777344,874.0593302408854,362.9472595214844,949.6407470703125,361.9772644042969,949.6407470703125,361.9772644042969,300,fixation
708.2000002264977,40,891.5579223632812,362.1761779785156,826.89697265625,363.5020446777344,874.0593302408854,362.9472595214844,949.6407470703125,361.9772644042969,949.6407470703125,361.9772644042969,300,fixation
732.2049997746944,40,907.8666381835938,361.95697021484375,887.486572265625,362.8128356933594,874.0593302408854,362.9472595214844,945.1300659179688,362.0159606933594,945.1300659179688,362.0159606933594,333,fixation
762.1849998831749,40,946.9825439453125,361.3115234375,910.8975219726562,362.5823974609375,874.0593302408854,362.9472595214844,941.6978149414062,362.0406799316406,941.6978149414062,362.0406799316406,367,fixation
774.1700001060963,40,946.9825439453125,361.3115234375,910.8975219726562,362.5823974609375,874.0593302408854,362.9472595214844,941.6978149414062,362.0406799316406,941.6978149414062,362.0406799316406,367,fixation
798.5950000584126,40,935.7798461914062,362.07183837890625,968.3697509765625,362.195068359375,874.0593302408854,362.9472595214844,939.4800415039062,362.0586242675781,939.4800415039062,362.0586242675781,400,fixation
